name,element,image_path
寶劍九,air,https://i.pinimg.com/236x/b6/df/f3/b6dff3f8e86f3e763c1ed6f5aee808c6.jpg
寶劍十,air,https://i.pinimg.com/236x/7f/92/44/7f9244c32fea71a010c576ab0825e57d.jpg
寶劍侍者,air,https://i.pinimg.com/236x/a4/0a/04/a40a0473a4bfcc2426a2c5c56636f91a.jpg
寶劍騎士,air,https://i.pinimg.com/236x/92/78/25/927825d7b6b7dcb658de024421078489.jpg
寶劍皇后,air,https://i.pinimg.com/236x/05/84/8b/05848b4a4153cefbb81bf2a56e637985.jpg
寶劍國王,air,https://i.pinimg.com/236x/82/b1/6c/82b16cfda64cf23d239a90ab0496ecd5.jpg
錢幣一,earth,https://i.pinimg.com/236x/c8/53/17/c85317240981c4a39504631b4629ded4.jpg
錢幣二,earth,https://i.pinimg.com/236x/f4/f6/0b/f4f60be09e7a786de77e65a19787b2de.jpg
錢幣三,earth,https://i.pinimg.com/236x/e0/ae/3a/e0ae3a6190d6ce7e3e9feef5df1d3936.jpg
錢幣四,earth,https://i.pinimg.com/236x/08/16/73/0816734f5424d27c9ddacb595b734b24.jpg
錢幣五,earth,https://i.pinimg.com/236x/82/44/eb/8244eb7fd4261c30be773ae026661862.jpg
錢幣六,earth,https://i.pinimg.com/236x/15/45/e7/1545e7852f768756025aa8759d94e0a7.jpg
錢幣七,earth,https://i.pinimg.com/236x/9c/96/03/9c96036d2ca36992b47ff1be12cd0ba5.jpg
錢幣八,earth,https://i.pinimg.com/236x/43/6a/aa/436aaa313ca31694cbba30eb03b41620.jpg
錢幣九,earth,https://i.pinimg.com/236x/19/a3/95/19a39523d931bd46f129d1fc6304f6bc.jpg
錢幣十,earth,https://i.pinimg.com/236x/68/e3/86/68e386861d83d4c59c09f0af8738d716.jpg
錢幣侍者,earth,https://i.pinimg.com/236x/f1/c6/ba/f1c6babc6059b7eedb2d1f1e3cf6f3e1.jpg
錢幣騎士,earth,https://i.pinimg.com/236x/71/94/28/7194287f1f54b6903b15f4d81c8e923c.jpg
錢幣皇后,earth,https://i.pinimg.com/236x/20/83/cc/2083cc7f364f1cedcac046585b2c9f24.jpg
錢幣國王,earth,https://i.pinimg.com/236x/d9/00/46/d9004646643ebcfa91d4b4e7404220d9.jpg
